Post Name,Post Author,Post Comments,Post Status,Post Date,Post Focus  Keyword,Post Readability,Post Redirect,Possibly Remove,To Redirect,Visits Since June 24.2013,
(no title),David Harris  ,„No comments,Published,11/26/14,Focus keyword not set,  Not available ,,√,,3,http://globallives.org/4483
Home „ Front Page,glp_admin ,„No comments,Published,1/4/13,Focus Bad, Bad ,,,,"206,000",http://globallives.org/
„ Blog „ Posts Page,glp_admin ,„No comments,Published,10/20/14,Focus keyword not set,  Not available ,,,√,271,http://globallives.org/home-2/blog/
„ Thank You,David Harris  ,„No comments,Published,6/20/13,Focus keyword not set,Good,,,,42,home-2/thankyou/
Home,glp_admin ,„No comments,Published,1/4/13,Focus keyword not set,  Not available ,,√,,,http://globallives.org/home/
„ Blog,glp_admin ,„No comments,Published,10/20/14,Focus keyword not set,  Not available ,,√,,798,http://globallives.org/home/blog/
(no title) „ Draft,David Harris  ,„No comments,Last Modified,1/3/14,Focus keyword not set,  Not available ,,√,,2,http://globallives.org/3586
(no title) „ Draft,mpope ,„No comments,Last Modified,6/16/16,Focus keyword not set,  Not available ,,√,,1,http://globallives.org/5155
(no title),David Harris  ,„No comments,Published,9/2/14,Focus keyword not set,  Not available ,,√,,7,http://globallives.org/unicefmycroftarchive/
About,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,,,,9701,http://globallives.org/about/overview/
„ Frequently Asked Questions „ Draft,Lauren Valdez ,„No comments,Last Modified,1/30/13,Focus keyword not set,Needs Improvement,,,,0,http://globallives.org/?page_id=285&preview=true
„ Overview,rosawu  ,„No comments,Published,2/8/13,Focus keyword not set,  Not available ,,,,9701,http://globallives.org/about/overview/
„ Board of Directors,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,,,,1907,http://globallives.org/about/board/
„ Advisory Council,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,,,,624,http://globallives.org/about/council/
„ Staff,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,Needs Improvement,,,,2320,http://globallives.org/about/staff/
„ Crew Members,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,Needs Improvement,,,,740,http://globallives.org/about/crew/
„ Careers & Internships,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,Needs Improvement,,,,"27,344",http://globallives.org/about/careers/
„ „ Web Developer Internship „ Private,Lauren Valdez ,„No comments,Last Modified,3/29/13,Focus keyword not set,Needs Improvement,,,,18,http://globallives.org/about/careers/web-developer-internship/
„ Leadership Committees „ Draft,Lauren Valdez ,„No comments,Last Modified,6/20/13,Focus keyword not set,  Not available ,,√,,0,http://globallives.org/about/leadership-committees/
„ Press,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,,,,,
(no title),David Harris  ,„No comments,Published,11/26/14,Focus keyword not set,  Not available ,,,,,
Home „ Front Page,glp_admin ,„No comments,Published,1/4/13,Focus Bad, Bad ,,,,,
„ Blog „ Posts Page,glp_admin ,„No comments,Published,10/20/14,Focus keyword not set,  Not available ,,,,,
„ Thank You,David Harris  ,„No comments,Published,6/20/13,Focus keyword not set,  Not available ,,,,,
Home,glp_admin ,„No comments,Published,1/4/13,Focus keyword not set,  Not available ,,,,,
„ Blog,glp_admin ,„No comments,Published,10/20/14,Focus keyword not set,  Not available ,,,,,
(no title) „ Draft,David Harris  ,„No comments,Last Modified,1/3/14,Focus keyword not set,  Not available ,,√,,,
(no title) „ Draft,mpope ,„No comments,Last Modified,6/16/16,Focus keyword not set,  Not available ,,√,,,
(no title),David Harris  ,„No comments,Published,9/2/14,Focus keyword not set,  Not available ,,√,,,
About,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,,,,,
„ Frequently Asked Questions „ Draft,Lauren Valdez ,„No comments,Last Modified,1/30/13,Focus keyword not set,  Not available ,,,,,
„ Overview,rosawu  ,„No comments,Published,2/8/13,Focus keyword not set,  Not available ,
„ Board of Directors,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,
„ Advisory Council,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,
„ Staff,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,
„ Crew Members,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,
„ Careers & Internships,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,
„ „ Web Developer Internship „ Private,Lauren Valdez ,„No comments,Last Modified,3/29/13,Focus keyword not set,  Not available ,
„ Leadership Committees „ Draft,Lauren Valdez ,„No comments,Last Modified,6/20/13,Focus keyword not set,  Not available ,
„ Press,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,
Explore the Collection,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,
Explore the Collection,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,
Global Lives Immersive Video Exhibit Opening,Michael Pierce  ,„No comments,Published,12/20/13,Focus keyword not set,  Not available ,
Global Lives Immersive Video Exhibit Opening,Michael Pierce  ,„No comments,Published,12/20/13,Focus keyword not set,  Not available ,(302) http://globallives.staging.wpengine.com/event/jan9/
Global Lives Immersive Video Exhibit Opening,Danny Spitzberg ,1 comment,Published,12/23/13,Focus keyword not set,  Not available ,(302) http://globallives.staging.wpengine.com/event/jan9/
Global Lives Project Video Sample,Dalila  ,„No comments ,Published,8/14/14,Focus keyword not set,  Not available ,(302) http://globallives.staging.wpengine.com/event/jan9/
Global Lives Project Work Sample,Dalila  ,„No comments,Published,8/12/14,Focus keyword not set,  Not available ,
Global Lives Survey,David Harris  ,„No comments,Published,4/12/16,Focus keyword not set,  Not available ,
Global Wednesdays,Danny Spitzberg ,1 comment,Published,1/14/14,Focus keyword not set,  Not available ,
Impact Report: 2012„2013 „ Draft,David Harris  ,„No comments,Last Modified,10/7/14,Focus keyword not set,  Not available ,
Independent Shoots,David Harris  ,„No comments,Published,11/15/13,Focus keyword not set,  Not available ,
jan9testtickets,Danny Spitzberg ,„No comments,Published,12/26/13,Focus keyword not set,  Not available ,(301) http://globallives.staging.wpengine.com/participate/propose/
jan9volunteer,Danny Spitzberg ,„No comments,Published,12/25/13,Focus keyword not set,  Not available ,
Lives in Transit,David Harris  ,„No comments,Published,11/15/13,Focus keyword not set,  Not available ,(302) http://globallives.staging.wpengine.com/participate/volunteer/jan9volunteer/
Lives in Transit [Sneak Preview],David Harris  ,„No comments,Published,3/16/15,Focus keyword not set,  Not available ,(301) http://globallives.staging.wpengine.com/participate/livesintransit
Lives in Transit Previews,Danny Spitzberg ,1 comment,Published,1/16/14,Focus keyword not set,  Not available ,
Lives in Transit Traveling Exhibit Work Samples,fishglenn ,„No comments,Published,2/28/17,Focus keyword not set,  Not available ,
Lives in Transit Work Sample,Dalila  ,„No comments,Published,6/13/14,Focus keyword not set,  Not available ,
Palo Alto High School Exhibit,David Harris  ,„No comments,Published,9/15/14,Focus keyword not set,  Not available ,
Paly Teachers,David Harris  ,„No comments,Published,9/23/14,Focus keyword not set,  Not available,
Participate,glp_admin ,„No comments,Published,1/7/13,Focus keyword not set,  Not available ,
„ Crew Member Inquiry Form,Lauren Valdez,1 comment,Published,2/25/13,Focus keyword not set,  Not available ,
„ Educate,rosawu  ,„No comments,Published,2/6/13,Focus keyword not set,  Not available ,
„ „ Classroom Curriculum,ajay  ,„No comments,Published,5/31/16,Focus keyword not set,  Not available 
„ „ Exhibits for Students,ajay  ,„No comments,Published,5/31/16,Focus keyword not set,  Not available 
„ „ Assemblies & Community Events,ajay  ,„No comments,Published,5/31/16,Focus keyword not set,  Not available 
